,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,year,month,day,Make/Model,model_new,Survivors,seating_capacity,State,City
13710,20010110X00213,Accident,MIA86FA053,1986-01-01,"ST. MARYS, GA",United States,,,Fatal(1),Destroyed,Airplane,N21760,cessna,172m,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,1986,1,1,cessna 172m,172,0.0,4-seater,GA,ST. MARYS
13714,20010110X00233,Accident,MKC86LA044,1986-01-01,"OLATHE, KS",United States,OJC,JOHNSON CTY. EXEC.,Non-Fatal,Substantial,Airplane,N4682J,piper,pa28r180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,1,1,piper pa28r180,pa-28,2.0,4-seater,KS,OLATHE
13717,20010110X00188,Accident,LAX86FA079,1986-01-02,"EL CAJON, CA",United States,SEE,GILLESPIE FIELD,Fatal(4),Destroyed,Airplane,N4318V,piper,pa28181,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,1986,1,2,piper pa28181,pa-28,0.0,4-seater,CA,EL CAJON
13719,20010110X00218,Accident,MIA86LA054,1986-01-02,"BOCA RATON, FL",United States,,,Non-Fatal,Substantial,Airplane,N7692G,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1986,1,2,cessna 150l,150,2.0,2-seater,FL,BOCA RATON
13730,20010110X00169,Accident,FTW86FRD04,1986-01-04,"BELLE CHASSE, LA",United States,,,Non-Fatal,Substantial,Airplane,N50560,cessna,150j,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,Cruise,Probable Cause,1986,1,4,cessna 150j,150,2.0,2-seater,LA,BELLE CHASSE
13731,20010110X00155,Accident,DEN86LA063,1986-01-04,"WEST FARGO, ND",United States,D54,WEST FARGO UTILITY,Non-Fatal,Substantial,Airplane,N23148,cessna,150h,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1986,1,4,cessna 150h,150,1.0,2-seater,ND,WEST FARGO
13732,20010110X00258,Accident,SEA86FA035,1986-01-05,"KELSO, WA",United States,,,Fatal(2),Destroyed,Airplane,N43552,piper,pa28151,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1986,1,5,piper pa28151,pa-28,0.0,4-seater,WA,KELSO
13733,20010110X00178,Accident,FTW86LRA03,1986-01-05,"SARATOGA, TX",United States,,,Non-Fatal,Destroyed,Airplane,N8267U,cessna,172f,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,1986,1,5,cessna 172f,172,3.0,4-seater,TX,SARATOGA
13736,20010110X00234,Accident,MKC86LA045,1986-01-05,"CREVE CEOUR, MO",United States,1H0,CREVE CEOUR,Non-Fatal,Substantial,Airplane,N4349J,piper,pa28140,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Climb,Probable Cause,1986,1,5,piper pa28140,pa-28,1.0,4-seater,MO,CREVE CEOUR
13737,20010110X00129,Accident,CHI86LA060,1986-01-05,"ANDERSON, IN",United States,AID,ANDERSON,Non-Fatal,Substantial,Airplane,N8521X,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,1986,1,5,cessna 172m,172,4.0,4-seater,IN,ANDERSON
